lineOrderID,lineProductID,qtyOrdered
1,jHG5,1
1,jCRA,1
1,jPL5,1
1,jSM4,1
1,jCA6,1
1,jCHO,1
1,jCHI,1
1,jPI5,1
1,jFF6,1
1,jBL6,1
2,jHG5,1
2,jCRA,1
2,jPL5,1
2,jSM4,1
2,jCA6,1
2,jCHO,1
2,jCHI,1
2,jPI5,1
2,jFF6,1
2,jBL6,1
3,jHG5,1
3,jCRA,1
3,jPL5,1
3,jSM4,1
3,jCA6,1
3,jCHO,1
3,jCHI,1
3,jPI5,1
3,jFF6,1
3,jBL6,1
4,jHG5,1
4,jCRA,1
4,jPL5,1
4,jSM4,1
4,jCA6,1
4,jCHO,1
4,jCHI,1
4,jPI5,1
4,jFF6,1
4,jBL6,1
5,jHG5,1
5,jCRA,1
5,jPL5,1
5,jSM4,1
5,jCA6,1
5,jCHO,1
5,jCHI,1
5,jPI5,1
5,jFF6,1
5,jBL6,1
6,jHG5,1
6,jCRA,1
6,jPL5,1
6,jSM4,1
6,jCA6,1
6,jCHO,1
6,jCHI,1
6,jPI5,1
6,jFF6,1
6,jBL6,1
7,jHG5,1
7,jCRA,1
7,jPL5,1
7,jSM4,1
7,jCA6,1
7,jCHO,1
7,jCHI,1
7,jPI5,1
7,jFF6,1
7,jBL6,1
8,jHG5,1
8,jCRA,1
8,jPL5,1
8,jSM4,1
8,jCA6,1
8,jCHO,1
8,jCHI,1
8,jPI5,1
8,jFF6,1
8,jBL6,1
9,jHG5,1
9,jCRA,1
9,jPL5,1
9,jSM4,1
9,jCA6,1
9,jCHO,1
9,jCHI,1
9,jPI5,1
9,jFF6,1
9,jBL6,1
10,jHG5,1
10,jCRA,1
10,jPL5,1
10,jSM4,1
10,jCA6,1
10,jCHO,1
10,jCHI,1
10,jPI5,1
10,jFF6,1
10,jBL6,1
11,jHG5,1
11,jCRA,1
11,jPL5,1
11,jSM4,1
11,jCA6,1
11,jCHO,1
11,jCHI,1
11,jPI5,1
11,jFF6,1
11,jBL6,1
12,jHG5,1
12,jCRA,1
12,jPL5,1
12,jSM4,1
12,jCA6,1
12,jCHO,1
12,jCHI,1
12,jPI5,1
12,jFF6,1
12,jBL6,1
13,jHG5,1
13,jCRA,1
13,jPL5,1
13,jSM4,1
13,jCA6,1
13,jCHO,1
13,jCHI,1
13,jPI5,1
13,jFF6,1
13,jBL6,1
14,jHG5,1
14,jCRA,1
14,jPL5,1
14,jSM4,1
14,jCA6,1
14,jCHO,1
14,jCHI,1
14,jPI5,1
14,jFF6,1
14,jBL6,1
15,jHG5,1
15,jCRA,1
15,jPL5,1
15,jSM4,1
15,jCA6,1
15,jCHO,1
15,jCHI,1
15,jPI5,1
15,jFF6,1
15,jBL6,1
16,jHG5,1
16,jCRA,1
16,jPL5,1
16,jSM4,1
16,jCA6,1
16,jCHO,1
16,jCHI,1
16,jPI5,1
16,jFF6,1
16,jBL6,1
17,jHG5,1
17,jCRA,1
17,jPL5,1
17,jSM4,1
17,jCA6,1
17,jCHO,1
17,jCHI,1
17,jPI5,1
17,jFF6,1
17,jBL6,1
18,jHG5,1
18,jCRA,1
18,jPL5,1
18,jSM4,1
18,jCA6,1
18,jCHO,1
18,jCHI,1
18,jPI5,1
18,jFF6,1
18,jBL6,1
19,jHG5,1
19,jCRA,1
19,jPL5,1
19,jSM4,1
19,jCA6,1
19,jCHO,1
19,jCHI,1
19,jPI5,1
19,jFF6,1
19,jBL6,1
20,jHG5,1
20,jCRA,1
20,jPL5,1
20,jSM4,1
20,jCA6,1
20,jCHO,1
20,jCHI,1
20,jPI5,1
20,jFF6,1
20,jBL6,1
21,jHG5,1
21,jCRA,1
21,jPL5,1
21,jSM4,1
21,jCA6,1
21,jCHO,1
21,jCHI,1
21,jPI5,1
21,jFF6,1
21,jBL6,1
22,jHG5,1
22,jCRA,1
22,jPL5,1
22,jSM4,1
22,jCA6,1
22,jCHO,1
22,jCHI,1
22,jPI5,1
22,jFF6,1
22,jBL6,1
23,jHG5,1
23,jCRA,1
23,jPL5,1
23,jSM4,1
23,jCA6,1
23,jCHO,1
23,jCHI,1
23,jPI5,1
23,jFF6,1
23,jBL6,1
24,jHG5,1
24,jCRA,1
24,jPL5,1
24,jSM4,1
24,jCA6,1
24,jCHO,1
24,jCHI,1
24,jPI5,1
24,jFF6,1
24,jBL6,1
25,jHG5,1
25,jCRA,1
25,jPL5,1
25,jSM4,1
25,jCA6,1
25,jCHO,1
25,jCHI,1
25,jPI5,1
25,jFF6,1
25,jBL6,1
26,jHG5,1
26,jCRA,1
26,jPL5,1
26,jSM4,1
26,jCA6,1
26,jCHO,1
26,jCHI,1
26,jPI5,1
26,jFF6,1
26,jBL6,1
27,jHG5,1
27,jCRA,1
27,jPL5,1
27,jSM4,1
27,jCA6,1
27,jCHO,1
27,jCHI,1
27,jPI5,1
27,jFF6,1
27,jBL6,1
28,jHG5,1
28,jCRA,1
28,jPL5,1
28,jSM4,1
28,jCA6,1
28,jCHO,1
28,jCHI,1
28,jPI5,1
28,jFF6,1
28,jBL6,1
29,jHG5,1
29,jCRA,1
29,jPL5,1
29,jSM4,1
29,jCA6,1
29,jCHO,1
29,jCHI,1
29,jPI5,1
29,jFF6,1
29,jBL6,1
30,jHG5,1
30,jCRA,1
30,jPL5,1
